Title,Authors,Abstract,PDF URL,Publication date,TF-IDF given Paper-wise Abstract,TF-IDF given Paper-wise Full Text,TF-IDF given the whole Title,TF-IDF given the whole Abstract
A graph similarity for deep learning,Seongmin Ok,"Graph neural networks (GNNs) have been successful in learning representations from graphs. Many popular GNNs follow the pattern ofaggregate-transform: they aggregate the neighbors' attributes and then transform the results of aggregation with a learnable function. Analyses of these GNNs explain which pairs of non-identical graphs have different representations. However, we still lack an understanding of how similar these representations will be. We adopt kernel distance and proposetransform-sum-catas an alternative to aggregate-transform to reflect the continuous similarity between the node neighborhoods in the neighborhood aggregation. The idea leads to a simple and efficient graph similarity, which we name Weisfeiler-Leman similarity (WLS). In contrast to existing graph kernels, WLS is easy to implement with common deep learning frameworks. In graph classification experiments, transform-sum-cat significantly outperforms other neighborhood aggregation methods from popular GNN models. We also develop a simple and fast GNN model based on transform-sum-cat, which obtains, in comparison with widely used GNN models, (1) a higher accuracy in node classification, (2) a lower absolute error in graph regression, and (3) greater stability in adversarial training of graph generation.",https://proceedings.neurips.cc/paper_files/paper/2020/file/0004d0b59e19461ff126e3a08a814c33-Paper.pdf,2020,"graph, transform, aggregation, gnn, gnns, representations, similarity, sum, aggregate, cat","graph, attributes, node, al, et, wls, set, kernel, graphs, similarity","{'similarity': 0.7577315830678055, 'graph': 0.4590227454132478, 'deep': 0.3943926290759467, 'learning': 0.24412173468457224}","{'transform': 0.37517466292923773, 'graph': 0.29828222848721464, 'wls': 0.23053212045924365, 'aggregation': 0.22510479775754266, 'gnn': 0.2237067381226118, 'gnns': 0.2161392811805639, 'cat': 0.21018354669820136, 'similarity': 0.20494403521568613, 'sum': 0.19318387748104837, 'neighborhood': 0.15758324658274864}"
An Unsupervised Information-Theoretic Perceptual Quality Metric,"Sangnie Bhardwaj, Ian Fischer, Johannes Ballé, Troy Chinen","Tractable models of human perception have proved to be challenging to build. Hand-designed models such as MS-SSIM remain popular predictors of human image quality judgements due to their simplicity and speed. Recent modern deep learning approaches can perform better, but they rely on supervised data which can be costly to gather: large sets of class labels such as ImageNet, image quality ratings, or both. We combine recent advances in information-theoretic objective functions with a computational architecture informed by the physiology of the human visual system and unsupervised training on pairs of video frames, yielding our Perceptual Information Metric (PIM). We show that PIM is competitive with supervised metrics on the recent and challenging BAPPS image quality assessment dataset and outperforms them in predicting the ranking of image compression methods in CLIC 2020. We also perform qualitative experiments using the ImageNet-C dataset, and establish that PIM is robust with respect to architectural details.",https://proceedings.neurips.cc/paper_files/paper/2020/file/00482b9bed15a272730fcb590ffebddd-Paper.pdf,2020,"image, human, pim, quality, recent, challenging, dataset, imagenet, information, models","image, human, pim, scale, al, et, lpips, bapps, information, dataset","{'perceptual': 0.48353535892595645, 'quality': 0.48353535892595645, 'metric': 0.3883296786501195, 'theoretic': 0.3883296786501195, 'information': 0.34087493994315515, 'unsupervised': 0.33851367773611923}","{'pim': 0.43010458075009095, 'image': 0.2298745318569504, 'human': 0.21529394844983213, 'quality': 0.2101230300682889, 'recent': 0.15944559294346217, 'imagenet': 0.147739763737943, 'bapps': 0.14336819358336364, 'clic': 0.14336819358336364, 'judgements': 0.14336819358336364, 'physiology': 0.14336819358336364}"
Self-Supervised MultiModal Versatile Networks,"Jean-Baptiste Alayrac, Adria Recasens, Rosalia Schneider, Relja Arandjelović, Jason Ramapuram, Jeffrey De Fauw, Lucas Smaira, Sander Dieleman, Andrew Zisserman","Videos are a rich source of multi-modal supervision. In this work, we learn representations using self-supervision by leveraging three modalities naturally present in videos: visual, audio and language streams.
To this end, we introduce the notion of a multimodal versatile network -- a network that can ingest multiple modalities and whose representations enable downstream tasks in multiple modalities. In particular, we explore how best to combine the modalities, such that fine-grained representations of the visual and audio modalities can be maintained, whilst also integrating text into a common embedding.
Driven by versatility, we also introduce a novel process of deflation,  so that the networks can be effortlessly applied to the visual data in the form of video or a static image.
We demonstrate how such networks trained on large collections of unlabelled video data can be applied on video, video-text, image and audio tasks.
Equipped with these representations, we obtain state-of-the-art performance on multiple challenging benchmarks including UCF101, HMDB51, Kinetics600, AudioSet and ESC-50 when compared to previous self-supervised work. Our models are publicly available.",https://proceedings.neurips.cc/paper_files/paper/2020/file/0060ef47b12160b9198302ebdb144dcf-Paper.pdf,2020,"modalities, representations, video, audio, multiple, visual, also, applied, data, image","audio, modalities, video, text, training, network, supervised, visual, videos, vision","{'versatile': 0.6290033851512384, 'multimodal': 0.5179618369869505, 'self': 0.36650558171508774, 'supervised': 0.36500835035761076, 'networks': 0.26174957427718437}","{'modalities': 0.44787647523923924, 'video': 0.30463375163818324, 'audio': 0.2660371508449835, 'representations': 0.21690614690866228, 'visual': 0.18632329367957182, 'videos': 0.16031030423405876, 'multiple': 0.15206692262346158, 'text': 0.14659926645725235, 'supervision': 0.1401285498741871, 'audioset': 0.12313156383615678}"
"Benchmarking Deep Inverse Models over time, and the Neural-Adjoint method","Simiao Ren, Willie Padilla, Jordan Malof","We consider the task of solving generic inverse problems, where one wishes
to determine the hidden parameters of a natural system that will give rise to a
particular set of measurements. Recently many new approaches based upon deep
learning have arisen, generating promising results. We conceptualize these models
as different schemes for efficiently, but randomly, exploring the space of possible
inverse solutions. As a result, the accuracy of each approach should be evaluated
as a function of time rather than a single estimated solution, as is often done now.
Using this metric, we compare several state-of-the-art inverse modeling approaches
on four benchmark tasks: two existing tasks, a new 2-dimensional sinusoid task,
and a challenging modern task of meta-material design. Finally, inspired by our
conception of the inverse problem, we explore a simple solution that uses a deep
neural network as a surrogate (i.e., approximation) for the forward model, and
then uses backpropagation with respect to the model input to search for good
inverse solutions. Variations of this approach - which we term the neural adjoint
(NA) - have been explored recently on specific problems, and here we evaluate it
comprehensively on our benchmark. We find that the addition of a simple novel
loss term - which we term the boundary loss - dramatically improves the NA’s
performance, and it consequentially achieves the best (or nearly best) performance
in all of our benchmark scenarios.",https://proceedings.neurips.cc/paper_files/paper/2020/file/007ff380ee5ac49ffc34442f5c2a2b86-Paper.pdf,2020,"inverse, benchmark, task, term, approach, approaches, best, deep, loss, model","inverse, model, models, solutions, loss, na, neural, 10, benchmark, solution","{'adjoint': 0.47819796547550036, 'benchmarking': 0.45972565021285383, 'inverse': 0.4076551180372177, 'method': 0.3707104875119246, 'time': 0.3087418065519297, 'models': 0.26423422520146506, 'deep': 0.22573203311326695, 'neural': 0.20068356156889708}","{'inverse': 0.41390697237273255, 'na': 0.25120483514537756, 'term': 0.22196840871125087, 'benchmark': 0.19016304092272998, 'task': 0.1394416953372546, 'solutions': 0.13921032022329485, 'uses': 0.13610643370245948, 'conception': 0.13244078284997837, 'conceptualize': 0.13244078284997837, 'consequentially': 0.13244078284997837}"
Off-Policy Evaluation and Learning for External Validity under a Covariate Shift,"Masatoshi Uehara, Masahiro Kato, Shota Yasui","We consider the evaluation and training of a new policy for the evaluation data by using the historical data obtained from a different policy. The goal of off-policy evaluation (OPE) is to estimate the expected reward of a new policy over the evaluation data, and that of off-policy learning (OPL) is to find a new policy that maximizes the expected reward over the evaluation data. Although the standard OPE and OPL assume the same distribution of covariate between the historical and evaluation data, there often exists a problem of a covariate shift,i.e., the distribution of the covariate of the historical data is different from that of the evaluation data. In this paper, we derive the efficiency bound of OPE under a covariate shift. Then, we propose doubly robust and efficient estimators for OPE and OPL under a covariate shift by using an estimator of the density ratio between the distributions of the historical and evaluation data. We also discuss other possible estimators and compare their theoretical properties. Finally, we confirm the effectiveness of the proposed estimators through experiments.",https://proceedings.neurips.cc/paper_files/paper/2020/file/0084ae4bc24c0795d1e6a4f58444d39b-Paper.pdf,2020,"data, evaluation, policy, covariate, historical, ope, estimators, new, opl, shift","estimator, data, estimators, policy, πe, evaluation, covariate, shift, ope, historical","{'validity': 0.4705854427363859, 'covariate': 0.4462875257174895, 'external': 0.4462875257174895, 'evaluation': 0.38045204519846904, 'shift': 0.37413820705227996, 'policy': 0.2801372717169932, 'learning': 0.13040008506703155}","{'evaluation': 0.42326240038254087, 'covariate': 0.3942371986792582, 'ope': 0.3657759981476464, 'historical': 0.3347807027454337, 'opl': 0.31057053157423586, 'policy': 0.2630464235541937, 'data': 0.20918597854056167, 'shift': 0.19111525063251575, 'estimators': 0.183266681794684, 'expected': 0.10945808707842657}"
Neural Methods for Point-wise Dependency Estimation,"Yao-Hung Hubert Tsai, Han Zhao, Makoto Yamada, Louis-Philippe Morency, Russ R. Salakhutdinov","Since its inception, the neural estimation of mutual information (MI) has demonstrated the empirical success of modeling expected dependency between high-dimensional random variables. However, MI is an aggregate statistic and cannot be used to measure point-wise dependency between different events. In this work, instead of estimating the expected dependency, we focus on estimating point-wise dependency (PD), which quantitatively measures how likely two outcomes co-occur. We show that we can naturally obtain PD when we are optimizing MI neural variational bounds. However, optimizing these bounds is challenging due to its large variance in practice. To address this issue, we develop two methods (free of optimizing MI variational bounds): Probabilistic Classifier and Density-Ratio Fitting. We demonstrate the effectiveness of our approaches in 1) MI estimation, 2) self-supervised representation learning, and 3) cross-modal retrieval task.",https://proceedings.neurips.cc/paper_files/paper/2020/file/00a03ec6533ca7f5c644d198d815329c-Paper.pdf,2020,"mi, dependency, bounds, optimizing, estimating, estimation, expected, however, neural, pd","estimation, mi, pd, density, dependency, neural, learning, ratio, point, wise","{'dependency': 0.5514404271256017, 'wise': 0.4700929921080938, 'point': 0.40390968764556734, 'methods': 0.3761652764967775, 'estimation': 0.3416533705146086, 'neural': 0.23142095303270238}","{'mi': 0.5633696851497013, 'dependency': 0.36103017088737716, 'pd': 0.2484742545469857, 'optimizing': 0.23091905047998937, 'bounds': 0.17338669103075524, 'wise': 0.1532981625309193, 'estimating': 0.14689585060766278, 'expected': 0.13851091699857207, 'variational': 0.12799845388361983, 'point': 0.12097690973623187}"
Fast and Flexible Temporal Point Processes with Triangular Maps,"Oleksandr Shchur, Nicholas Gao, Marin Biloš, Stephan Günnemann","Temporal point process (TPP) models combined with recurrent neural networks provide a powerful framework for modeling continuous-time event data. While such models are flexible, they are inherently sequential and therefore cannot benefit from the parallelism of modern hardware. By exploiting the recent developments in the field of normalizing flows, we design TriTPP - a new class of non-recurrent TPP models, where both sampling and likelihood computation can be done in parallel. TriTPP matches the flexibility of RNN-based methods but permits several orders of magnitude faster sampling. This enables us to use the new model for variational inference in continuous-time discrete-state systems. We demonstrate the advantages of the proposed framework on synthetic and real-world datasets.",https://proceedings.neurips.cc/paper_files/paper/2020/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-Paper.pdf,2020,"models, continuous, framework, new, recurrent, sampling, time, tpp, tritpp, advantages","models, sampling, tritpp, ti, tpp, triangular, model, map, density, rnn","{'triangular': 0.4757719544675043, 'flexible': 0.42025710066702776, 'maps': 0.42025710066702776, 'temporal': 0.3333103436592259, 'point': 0.33049185845913587, 'processes': 0.32274688114644606, 'fast': 0.3097140342837173}","{'tpp': 0.36746178753228814, 'tritpp': 0.36746178753228814, 'recurrent': 0.23092791269645807, 'sampling': 0.17070781728152257, 'continuous': 0.1638953123693596, 'parallelism': 0.15442006059157767, 'models': 0.15346136692859405, 'developments': 0.1512958332068189, 'permits': 0.1512958332068189, 'rnn': 0.14607495458010902}"
Backpropagating Linearly Improves Transferability of Adversarial Examples,"Yiwen Guo, Qizhang Li, Hao Chen","The vulnerability of deep neural networks (DNNs) to adversarial examples has drawn great attention from the community. In this paper, we study the transferability of such examples, which lays the foundation of many black-box attacks on DNNs. We revisit a not so new but definitely noteworthy hypothesis of Goodfellow et al.'s and disclose that the transferability can be enhanced by improving the linearity of DNNs in an appropriate manner. We introduce linear backpropagation (LinBP), a method that performs backpropagation in a more linear fashion using off-the-shelf attacks that exploit gradients. More specifically, it calculates forward as normal but backpropagates loss as if some nonlinear activations are not encountered in the forward pass. Experimental results demonstrate that this simple yet effective method obviously outperforms current state-of-the-arts in crafting transferable adversarial examples on CIFAR-10 and ImageNet, leading to more effective attacks on a variety of DNNs. Code at: https://github.com/qizhangli/linbp-attack.",https://proceedings.neurips.cc/paper_files/paper/2020/file/00e26af6ac3b1c1c49d7c3d79c60d000-Paper.pdf,2020,"dnns, attacks, examples, adversarial, backpropagation, effective, forward, linbp, linear, method","19, vgg, fgsm, 100, models, 00, attacks, linbp, adversarial, model","{'backpropagating': 0.47480831590203165, 'improves': 0.43289800848265025, 'transferability': 0.43289800848265025, 'examples': 0.4083820502486165, 'linearly': 0.4083820502486165, 'adversarial': 0.2573011731867149}","{'dnns': 0.3674562526309797, 'linbp': 0.27860206968740525, 'attacks': 0.246603291339012, 'transferability': 0.2252401319359898, 'examples': 0.2013605720452151, 'backpropagation': 0.18899379887407033, 'forward': 0.15975354915149745, 'definitely': 0.13930103484370263, 'disclose': 0.13930103484370263, 'noteworthy': 0.13930103484370263}"
PyGlove: Symbolic Programming for Automated Machine Learning,"Daiyi Peng, Xuanyi Dong, Esteban Real, Mingxing Tan, Yifeng Lu, Gabriel Bender, Hanxiao Liu, Adam Kraft, Chen Liang, Quoc Le","Neural networks are sensitive to hyper-parameter and architecture choices. Automated Machine Learning (AutoML) is a promising paradigm for automating these choices. Current ML software libraries, however, are quite limited in handling the dynamic interactions among the components of AutoML. For example, efficient NAS algorithms, such as ENAS and DARTS, typically require an implementation coupling between the search space and search algorithm, the two key components in AutoML. Furthermore, implementing a complex search flow, such as searching architectures within a loop of searching hardware configurations, is difficult. To summarize, changing the search space, search algorithm, or search flow in current ML libraries usually requires a significant change in the program logic.In this paper, we introduce a new way of programming AutoML based on symbolic programming. Under this paradigm, ML programs are mutable, thus can be manipulated easily by another program. As a result, AutoML can be reformulated as an automated process of symbolic manipulation. With this formulation, we decouple the triangle of the search algorithm, the search space and the child program. This decoupling makes it easy to change the search space and search algorithm (without and with weight sharing), as well as to add search capabilities to existing code and implement complex search flows. We then introduce PyGlove, a new Python library that implements this paradigm. Through case studies on ImageNet and NAS-Bench-101, we show that with PyGlove users can easily convert a static program into a search space, quickly iterate on the search spaces and search algorithms, and craft complex search flows to achieve better results.",https://proceedings.neurips.cc/paper_files/paper/2020/file/012a91467f210472fab4e11359bbfef6-Paper.pdf,2020,"search, automl, space, algorithm, program, complex, ml, paradigm, algorithms, automated","search, space, symbolic, program, automl, conv, algorithm, self, trainer, child","{'pyglove': 0.5238870715039546, 'automated': 0.4505946277564199, 'symbolic': 0.44031067212765057, 'programming': 0.39901230251389314, 'machine': 0.3851599210871086, 'learning': 0.1451700636815121}","{'search': 0.5974536497671331, 'automl': 0.3468566639491213, 'program': 0.20716439466238284, 'ml': 0.15864958317524852, 'pyglove': 0.15707020551488726, 'libraries': 0.14320595676631945, 'space': 0.14228712335933602, 'paradigm': 0.14088637909166202, 'searching': 0.11547745926918382, 'symbolic': 0.11547745926918382}"
Fourier Sparse Leverage Scores and Approximate Kernel Learning,"Tamas Erdelyi, Cameron Musco, Christopher Musco","We prove new explicit upper bounds on the leverage scores of Fourier sparse functions under both the Gaussian and Laplace measures. In particular, we study s-sparse functions of the form $f(x) = \sum_{j=1}^s a_j e^{i \lambda_j x}$ for coefficients $a_j \in C$ and frequencies $\lambda_j \in R$. Bounding Fourier sparse leverage scores under various measures is of pure mathematical interest in approximation theory, and our work extends existing results for the uniform measure [Erd17,CP19a]. Practically, our bounds are motivated by two important applications in machine learning:

1. Kernel Approximation. They yield a new random Fourier features algorithm for approximating Gaussian and Cauchy (rational quadratic) kernel matrices. For low-dimensional data, our method uses a near optimal number of features, and its runtime is polynomial in the *statistical dimension* of the approximated kernel matrix. It is the first ``oblivious sketching method'' with this property for any kernel besides the polynomial kernel, resolving an open question of [AKM+17,AKK+20b]. 
	
2. Active Learning. They can be used as non-uniform sampling distributions for robust active learning when data follows a Gaussian or Laplace distribution. Using the framework of [AKM+19], we provide essentially optimal results for bandlimited and multiband interpolation, and Gaussian process regression. These results generalize existing work that only applies to uniformly distributed data.",https://proceedings.neurips.cc/paper_files/paper/2020/file/012d9fe15b2493f21902cd55603382ec-Paper.pdf,2020,"kernel, gaussian, data, fourier, learning, results, sparse, a_j, active, akm","kernel, leverage, data, fourier, function, approximation, scores, gaussian, method, bounds","{'scores': 0.49737968134193933, 'leverage': 0.45347704810858275, 'fourier': 0.41803204107634256, 'approximate': 0.3838930207507981, 'kernel': 0.33492063359424556, 'sparse': 0.3060716738879138, 'learning': 0.13782481748789346}","{'kernel': 0.290605308336565, 'fourier': 0.24702126504598054, 'a_j': 0.2286606556211425, 'akm': 0.2286606556211425, 'lambda_j': 0.2286606556211425, 'gaussian': 0.21936657501667411, 'laplace': 0.1790210038476367, 'sparse': 0.17482538721051336, 'active': 0.15079354531171021, 'scores': 0.14885159469655296}"
