Title,Authors,Abstract,PDF URL,Publication date,TF-IDF given Paper-wise Abstract,TF-IDF given Paper-wise Full Text,TF-IDF given the whole Title,TF-IDF given the whole Abstract
Compositional Plan Vectors,"Coline Devin, Daniel Geng, Pieter Abbeel, Trevor Darrell, Sergey Levine","Autonomous agents situated in real-world environments must be able to master large repertoires of skills.
While a single short skill can be learned quickly, it would be impractical to learn every task independently. Instead, the agent should share knowledge across behaviors such that each task can be learned efficiently, and such that the resulting model can generalize to new tasks, especially ones that are compositions or subsets of tasks seen previously.
A policy conditioned on a goal or demonstration has the potential to share knowledge between tasks if it sees enough diversity of inputs. However, these methods may not generalize to a more complex task at test time. We introduce compositional plan vectors (CPVs) to enable a policy to perform compositions of tasks without additional supervision. CPVs represent trajectories as the sum of the subtasks within them. We show that CPVs can be learned within a one-shot imitation learning framework without any additional supervision or information about task hierarchy, and enable a demonstration-conditioned policy to generalize to tasks that sequence twice as many skills as the tasks seen during training.
 Analogously to embeddings such as word2vec in NLP, CPVs can also support simple arithmetic operations -- for example, we can add the CPVs for two different tasks to command an agent to compose both tasks, without any additional training.",https://proceedings.neurips.cc/paper_files/paper/2019/file/00989c20ff1386dc386d8124ebcba1a5-Paper.pdf,2019,"tasks, cpvs, task, additional, generalize, learned, policy, without, agent, compositions","tasks, task, policy, skills, environment, trajectory, embedding, learning, plan, cpv","{'plan': 0.6297320474262457, 'vectors': 0.5720720112488988, 'compositional': 0.5255198972350983}","{'cpvs': 0.5072101774050238, 'tasks': 0.2769187739807268, 'compositions': 0.17832709424229132, 'additional': 0.17492526900366687, 'generalize': 0.16500133824253227, 'demonstration': 0.15975045848222705, 'task': 0.15865981254723827, 'skills': 0.15486416413268775, 'share': 0.1488838231730338, 'policy': 0.14666030579027442}"
Learning to Propagate for Graph Meta-Learning,"LU LIU, Tianyi Zhou, Guodong Long, Jing Jiang, Chengqi Zhang","Meta-learning extracts the common knowledge from learning different tasks and uses it for unseen tasks. It can signiﬁcantly improve tasks that suffer from insufﬁcient training data, e.g., few-shot learning. In most meta-learning methods, tasks are implicitly related by sharing parameters or optimizer. In this paper, we show that a meta-learner that explicitly relates tasks on a graph describing the relations of their output dimensions (e.g., classes) can signiﬁcantly improve few-shot learning. The graph’s structure is usually free or cheap to obtain but has rarely been explored in previous works. We develop a novel meta-learner of this type for prototype based classiﬁcation, in which a prototype is generated for each class, such that the nearest neighbor search among the prototypes produces an accurate classiﬁcation. The meta-learner, called “Gated Propagation Network (GPN)”, learns to propagate messages between prototypes of different classes on the graph, so that learning the prototype of each class beneﬁts from the data of other related classes. In GPN, an attention mechanism aggregates messages from neighboring classes of each class, with a gate choosing between the aggregated message and the message from the class itself. We train GPN on a sequence of tasks from many-shot to few-shot generated by subgraph sampling. During training, it is able to reuse and update previously achieved prototypes from the memory in a life-long learning cycle. In experiments, under different training-test discrepancy and test task generation settings, GPN outperforms recent meta-learning methods on two benchmark datasets. Code of GPN is publicly available at: https://github.com/liulu112601/Gated-Propagation-Net.",https://proceedings.neurips.cc/paper_files/paper/2019/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-Paper.pdf,2019,"learning, meta, tasks, gpn, class, classes, shot, different, graph, learner","classes, tasks, graph, learning, class, gpn, training, propagation, meta, shot","{'propagate': 0.662346016851433, 'meta': 0.4663371523801581, 'learning': 0.44055774572273454, 'graph': 0.38695773277544}","{'gpn': 0.4339422393620138, 'meta': 0.31130690194160193, 'prototypes': 0.22885086516893982, 'prototype': 0.2225801821069322, 'shot': 0.21093638159082373, 'classes': 0.19353372820649267, 'tasks': 0.17768780811542578, 'classiﬁcation': 0.1735768957448055, 'signiﬁcantly': 0.16427997649817894, 'learner': 0.16192413403280856}"
XNAS: Neural Architecture Search with Expert Advice,"Niv Nayman, Asaf Noy, Tal Ridnik, Itamar Friedman, Rong Jin, Lihi Zelnik","This paper introduces a novel optimization method for differential neural architecture search, based on the theory of prediction with expert advice. Its optimization criterion is well fitted for an architecture-selection, i.e., it minimizes the regret incurred by a sub-optimal selection of operations. 
Unlike previous search relaxations, that require hard pruning of architectures, our method is designed to dynamically wipe out inferior architectures and enhance superior ones.
It achieves an optimal worst-case regret bound and suggests the use of multiple learning-rates, based on the amount of information carried by the backward gradients. 
Experiments show that our algorithm achieves a strong performance over several image classification datasets.
Specifically, it obtains an error rate of 1.6% for CIFAR-10, 23.9% for ImageNet under mobile settings, and achieves state-of-the-art results on three additional datasets.",https://proceedings.neurips.cc/paper_files/paper/2019/file/00e26af6ac3b1c1c49d7c3d79c60d000-Paper.pdf,2019,"achieves, architecture, architectures, based, datasets, method, optimal, optimization, regret, search","xnas, search, architecture, experts, nas, regret, weights, network, methods, section","{'advice': 0.49004266197239815, 'expert': 0.49004266197239815, 'xnas': 0.49004266197239815, 'architecture': 0.3640775353260533, 'search': 0.3215620484110276, 'neural': 0.20885393372792393}","{'achieves': 0.23551976403243866, 'selection': 0.1994887743784274, 'architectures': 0.1846624627452563, 'regret': 0.1846624627452563, 'search': 0.18346571265763176, 'wipe': 0.1789178688047496, 'architecture': 0.17484753610757653, 'advice': 0.16253564587323535, 'fitted': 0.16253564587323535, '23': 0.1572617480548729}"
Multi-resolution Multi-task Gaussian Processes,"Oliver Hamelijnck, Theodoros Damoulas, Kangrui Wang, Mark Girolami","We consider evidence integration from potentially dependent observation processes under varying spatio-temporal sampling resolutions and noise levels. We offer a multi-resolution multi-task (MRGP) framework that allows for both inter-task and intra-task multi-resolution and multi-fidelity. We develop shallow Gaussian Process (GP) mixtures that approximate the difficult to estimate joint likelihood with a composite one and deep GP constructions that naturally handle biases. In doing so, we generalize existing approaches and offer information-theoretic corrections and efficient variational approximations. We demonstrate the competitiveness of MRGPs on synthetic settings and on the challenging problem of hyper-local estimation of air pollution levels across London from multiple sensing modalities operating at disparate spatio-temporal resolutions.",https://proceedings.neurips.cc/paper_files/paper/2019/file/0118a063b4aae95277f0bc1752c75abf-Paper.pdf,2019,"multi, task, gp, levels, offer, resolution, resolutions, spatio, temporal, across","resolution, multi, mr, task, dgp, gprn, observation, processes, model, gp","{'multi': 0.6128414504190387, 'resolution': 0.4509134064200631, 'task': 0.3919082298107878, 'gaussian': 0.3835013240968657, 'processes': 0.34704053132374807}","{'multi': 0.25778308443859066, 'spatio': 0.2569679189633527, 'resolutions': 0.2508470273567438, 'gp': 0.2262667147746552, 'levels': 0.2205845812043045, 'offer': 0.21802193734975525, 'resolution': 0.2036119769603187, 'task': 0.1763014320098994, 'temporal': 0.17277819435708364, 'competitiveness': 0.1502953674630148}"
Deep Equilibrium Models,"Shaojie Bai, J. Zico Kolter, Vladlen Koltun","We present a new approach to modeling sequential data: the deep equilibrium model (DEQ). Motivated by an observation that the hidden layers of many existing deep sequence models converge towards some fixed point, we propose the DEQ approach that directly finds these equilibrium points via root-finding. Such a method is equivalent to running an infinite depth (weight-tied) feedforward network, but has the notable advantage that we can analytically backpropagate through the equilibrium point using implicit differentiation. Using this approach, training and prediction in these networks require only constant memory, regardless of the effective “depth” of the network. We demonstrate how DEQs can be applied to two state-of-the-art deep sequence models: self-attention transformers and trellis networks. On large-scale language modeling tasks, such as the WikiText-103 benchmark, we show that DEQs 1) often improve performance over these state-of-the-art models (for similar parameter counts); 2) have similar computational requirements to existing models; and 3) vastly reduce memory consumption (often the bottleneck for training large sequence models), demonstrating an up-to 88% memory reduction in our experiments. The code is available at https://github.com/locuslab/deq.",https://proceedings.neurips.cc/paper_files/paper/2019/file/01386bd6d8e091c2ab4c7c7de644d37b-Paper.pdf,2019,"models, approach, deep, deq, equilibrium, memory, sequence, art, depth, deqs","deq, deep, memory, sequence, model, equilibrium, x1, transformer, networks, layer","{'equilibrium': 0.7828675218793948, 'models': 0.4727070058711119, 'deep': 0.40455720211953194}","{'deq': 0.38006075121019867, 'equilibrium': 0.2596745007733734, 'deqs': 0.2533738341401325, 'sequence': 0.20606359834228544, 'memory': 0.203019941270426, 'models': 0.18307940229265643, 'depth': 0.1557161140401735, 'similar': 0.13206722547229063, 'deep': 0.13072607004916667, 'modeling': 0.12709961127365177}"
Cross Attention Network for Few-shot Classification,"Ruibing Hou, Hong Chang, Bingpeng MA, Shiguang Shan, Xilin Chen","Few-shot classification aims to recognize unlabeled samples from unseen classes given only few labeled samples. The unseen classes and low-data problem make few-shot classification very challenging. Many existing approaches extracted features from labeled and unlabeled samples independently, as a result, the features are not discriminative enough. In this work, we propose a novel Cross Attention Network to address the challenging problems in few-shot classification. Firstly, Cross Attention Module is introduced to deal with the problem of unseen classes.  The module generates cross attention maps for each pair of class feature and query sample feature so as to highlight the target object regions, making the extracted feature more discriminative. Secondly, a transductive inference algorithm is proposed to alleviate the low-data problem, which iteratively utilizes the unlabeled query set to augment the support set, thereby making the class features more representative. Extensive experiments on two benchmarks show our method is a simple, effective and computationally efficient framework and outperforms the state-of-the-arts.",https://proceedings.neurips.cc/paper_files/paper/2019/file/01894d6f048493d2cacde3c579c315a3-Paper.pdf,2019,"attention, classes, classification, cross, feature, features, problem, samples, shot, unlabeled","query, class, shot, feature, attention, set, samples, classiﬁcation, support, features","{'cross': 0.5009339838813426, 'shot': 0.4637558990412013, 'attention': 0.45887431819405367, 'classification': 0.42424580818204094, 'network': 0.37874194940508393}","{'unlabeled': 0.25117154586674734, 'unseen': 0.24807114497561314, 'shot': 0.24236919658767223, 'cross': 0.2384643279544011, 'classes': 0.22237327607626464, 'attention': 0.20584615318291535, 'extracted': 0.2001712338642821, 'feature': 0.18918927988271178, 'features': 0.1840331004074856, 'module': 0.1801292810490662}"
Order Optimal One-Shot Distributed Learning,"Arsalan Sharifnassab, Saber Salehkaleybar, S. Jamaloddin Golestani","We consider distributed statistical optimization in one-shot setting, where there are $m$ machines each observing  $n$ i.i.d samples. Based on its observed samples, each machine then sends an $O(\log(mn))$-length message to a server, at which a parameter minimizing an expected loss is to be estimated. We propose an algorithm called Multi-Resolution Estimator (MRE) whose expected error is no larger than $\tilde{O}( m^{-1/\max(d,2)} n^{-1/2})$, where $d$ is the dimension of the parameter space. This error bound meets existing lower bounds up to poly-logarithmic factors, and is thereby order optimal. The expected error of MRE, unlike existing algorithms, tends to zero as the number of machines ($m$) goes to infinity, even when the number of samples per machine ($n$) remains upper bounded by a constant. This property of the MRE algorithm makes it applicable in new machine learning paradigms where $m$ is much larger than $n$.",https://proceedings.neurips.cc/paper_files/paper/2019/file/018b59ce1fd616d874afad0f44ba338d-Paper.pdf,2019,"error, expected, machine, mre, samples, algorithm, existing, larger, machines, number","log, algorithm, error, al, et, expected, mn, mre, machine, server","{'one': 0.4671407902424565, 'order': 0.4614103805364633, 'shot': 0.45101458059716226, 'distributed': 0.4462671172377112, 'optimal': 0.35657111229843247, 'learning': 0.19791031519407204}","{'mre': 0.4589907515429402, 'expected': 0.26382580719830007, 'machines': 0.21949036412020292, 'samples': 0.20450852573288666, 'error': 0.1992709057252753, 'machine': 0.1797728407113652, 'larger': 0.1758838714655334, 'parameter': 0.15688588642681187, 'meets': 0.15299691718098007, 'mn': 0.1448022782694419}"
Exact Gaussian Processes on a Million Data Points,"Ke Wang, Geoff Pleiss, Jacob Gardner, Stephen Tyree, Kilian Q. Weinberger, Andrew Gordon Wilson","Gaussian processes (GPs) are flexible non-parametric models, with a capacity that grows with the available data.
However, computational constraints with standard inference procedures have limited exact GPs to problems with fewer than about ten thousand training points, necessitating approximations for larger datasets. In this paper, we develop a scalable approach for exact GPs that leverages multi-GPU parallelization and methods like linear conjugate gradients, accessing the kernel matrix only through matrix multiplication. By partitioning and distributing kernel matrix multiplies, we demonstrate that an exact GP can be trained on over a million points, a task previously thought to be impossible with current computing hardware. Moreover, our approach is generally applicable, without constraints to grid data or specific kernel classes. Enabled by this scalability, we perform the first-ever comparison of exact GPs against scalable GP approximations on datasets with $10^4 \!-\! 10^6$ data points, showing dramatic performance improvements.",https://proceedings.neurips.cc/paper_files/paper/2019/file/01ce84968c6969bdd5d51c5eeaa3946a-Paper.pdf,2019,"exact, gps, data, kernel, matrix, points, 10, approach, approximations, constraints","exact, gps, training, gp, matrix, kernel, approximate, datasets, methods, ms","{'million': 0.5370621360044211, 'points': 0.422881510871378, 'exact': 0.41611978627950363, 'gaussian': 0.38118133199222626, 'processes': 0.34494110886528057, 'data': 0.3087008857383349}","{'gps': 0.41722051482740347, 'exact': 0.2895117375377806, 'kernel': 0.21973744535327883, 'gp': 0.19942820364140573, 'matrix': 0.19641602731714897, 'points': 0.19256642706368607, 'approximations': 0.18614707284565885, 'scalable': 0.15922945362583632, '10': 0.13952265446368456, 'constraints': 0.1376304450424438}"
Asymmetric Valleys: Beyond Sharp and Flat Local Minima,"Haowei He, Gao Huang, Yang Yuan","Despite the non-convex nature of their loss functions, deep neural networks are known to generalize well when optimized with stochastic gradient descent (SGD). Recent work conjectures that SGD with proper conﬁguration is able to ﬁnd wide and ﬂat local minima, which are correlated with good generalization performance. In this paper, we observe that local minima of modern deep networks are more than being ﬂat or sharp. Instead, at a local minimum there exist many asymmetric directions such that the loss increases abruptly along one side, and slowly along the opposite side – we formally deﬁne such minima as asymmetric valleys. Under mild assumptions, we ﬁrst prove that for asymmetric valleys, a solution biased towards the ﬂat side generalizes better than the exact empirical minimizer. Then, we show that performing weight averaging along the SGD trajectory implicitly induces such biased solutions. This provides theoretical explanations for a series of intriguing phenomena observed in recent work [25, 5, 51]. Finally, extensive empirical experiments on both modern deep networks and simple 2 layer networks are conducted to validate our assumptions and analyze the intriguing properties of asymmetric valleys.",https://proceedings.neurips.cc/paper_files/paper/2019/file/01d8bae291b1e4724443375634ccfa0e-Paper.pdf,2019,"asymmetric, networks, along, deep, local, minima, sgd, side, valleys, ﬂat","loss, asymmetric, sgd, solution, ﬂat, direction, side, training, figure, generalization","{'sharp': 0.42667132283082027, 'valleys': 0.42667132283082027, 'flat': 0.4038184608978508, 'asymmetric': 0.37502725983442164, 'minima': 0.37502725983442164, 'beyond': 0.3094696462884988, 'local': 0.3094696462884988}","{'asymmetric': 0.364248909612754, 'valleys': 0.31956279176268737, 'ﬂat': 0.31956279176268737, 'minima': 0.23450697709228244, 'side': 0.22030335542512725, 'along': 0.19873969248901188, 'sgd': 0.19526814652815075, 'intriguing': 0.182124454806377, 'biased': 0.1512070484376291, 'local': 0.1507853298058651}"
Calculating Optimistic Likelihoods Using (Geodesically) Convex Optimization,"Viet Anh Nguyen, Soroosh Shafieezadeh Abadeh, Man-Chung Yue, Daniel Kuhn, Wolfram Wiesemann","A fundamental problem arising in many areas of machine learning is the evaluation of the likelihood of a given observation under different nominal distributions. Frequently, these nominal distributions are themselves estimated from data, which makes them susceptible to estimation errors. We thus propose to replace each nominal distribution with an ambiguity set containing all distributions in its vicinity and to evaluate an optimistic likelihood, that is, the maximum of the likelihood over all distributions in the ambiguity set. When the proximity of distributions is quantified by the Fisher-Rao distance or the Kullback-Leibler divergence, the emerging optimistic likelihoods can be computed efficiently using either geodesic or standard convex optimization techniques. We showcase the advantages of working with optimistic likelihoods on a classification problem using synthetic as well as empirical data.",https://proceedings.neurips.cc/paper_files/paper/2019/file/021e1ea77bd91aaa0fc4d01a943a654e-Paper.pdf,2019,"distributions, likelihood, nominal, optimistic, ambiguity, data, likelihoods, problem, set, using","problem, likelihood, convex, distributions, sn, pc, fr, geodesic, σk, distance","{'calculating': 0.4543838235983626, 'geodesically': 0.4543838235983626, 'likelihoods': 0.4543838235983626, 'optimistic': 0.3993854547022113, 'convex': 0.30778722652385965, 'using': 0.2636280177682666, 'optimization': 0.2384629375081781}","{'nominal': 0.41393308180756244, 'distributions': 0.3387854325707986, 'optimistic': 0.3338415623719711, 'likelihood': 0.24281680991086607, 'ambiguity': 0.23364136956131099, 'likelihoods': 0.23364136956131099, 'geodesic': 0.14578611651845427, 'quantified': 0.1324375299458557, 'vicinity': 0.1324375299458557, 'susceptible': 0.12814024490110001}"
